Rooms,Size,ExternalView,Floor,Balconies,Attic,Elevator,Bathrooms,Neighbourhood,Price
5,163,1,4,1,0,1,1,5,188565
5,159,1,8,0,0,1,1,4,188541
5,157,1,0,0,0,1,3,1,188484
5,156,1,0,0,0,1,3,4,188471
5,161,1,0,2,0,1,3,5,188406
5,165,1,6,1,0,1,2,3,188337
5,161,1,3,0,0,1,2,2,188227
5,161,0,1,2,0,0,1,3,188156
5,160,1,0,1,0,1,2,3,188152
5,161,0,3,1,0,0,3,2,188112
5,161,1,2,0,0,1,1,1,188010
5,164,0,9,1,0,0,3,3,187997
5,161,0,2,1,0,0,2,1,187993
5,159,0,0,0,0,0,3,2,187969
5,158,1,1,1,0,1,2,2,187965
5,150,1,10,2,0,1,1,2,187962
5,171,1,10,0,0,1,3,5,187953
5,168,1,0,0,0,1,2,4,187895
5,158,1,7,0,0,1,1,2,187885
5,162,1,5,2,0,1,1,2,187733
5,169,0,1,1,0,0,3,3,187728
5,159,0,8,0,0,1,1,4,187712
5,155,1,1,0,0,1,3,3,187703
5,152,0,5,1,0,0,3,2,187701
5,158,1,8,0,0,1,3,4,187596
5,160,0,1,1,0,0,2,2,187518
5,172,0,4,0,0,0,3,1,187479
5,164,0,8,0,0,0,2,1,187475
5,166,0,2,0,0,0,3,3,187439
5,161,1,5,0,0,1,1,2,187403
5,152,1,3,0,1,1,3,2,187397
5,163,0,8,1,0,0,2,5,187379
5,156,1,2,1,1,1,2,5,187330
5,153,1,1,1,0,1,3,2,187316
5,163,1,3,1,0,1,3,3,187307
5,160,1,1,1,0,1,1,3,187262
5,150,1,8,1,0,1,2,3,187216
5,158,0,10,1,0,0,3,2,187211
5,155,1,9,0,1,1,2,2,187182
5,160,1,5,0,0,1,2,5,187121
5,157,1,2,2,0,1,2,4,187036
5,152,1,4,0,1,1,2,1,187015
5,163,1,3,0,0,1,3,5,187006
5,151,0,2,1,0,0,2,1,186992
5,158,1,6,0,0,1,3,2,186949
5,161,1,5,0,0,1,1,3,186862
5,147,1,7,1,0,1,1,2,186773
5,156,0,3,2,0,0,1,4,186768
5,155,1,1,0,0,1,2,3,186749
5,144,1,7,2,0,1,1,1,186616
5,161,1,3,0,0,1,2,4,186598
5,156,1,5,0,0,1,2,5,186572
5,162,0,0,1,0,0,1,2,186568
5,155,0,6,0,0,0,2,1,186529
5,157,1,3,0,0,1,1,4,186478
5,159,1,6,1,0,1,1,5,186462
5,156,1,4,1,0,1,1,5,186452
5,157,1,8,0,0,1,1,2,186431
5,147,1,5,1,0,1,1,2,186429
5,160,0,2,0,0,0,1,2,186415
5,163,0,4,0,0,0,2,2,186390
5,148,0,0,1,0,1,1,2,186356
5,170,1,9,0,0,1,3,2,186318
5,162,1,3,0,0,1,2,2,186263
5,156,1,1,1,0,1,3,3,186243
5,152,1,7,1,0,1,3,1,186157
5,160,0,7,2,0,0,1,3,186011
5,158,0,3,2,0,0,2,4,185987
5,154,1,6,1,0,1,2,2,185972
5,162,0,2,0,0,0,1,1,185899
5,160,0,8,1,0,0,1,2,185893
5,162,1,3,0,0,1,1,3,185862
5,169,0,2,1,0,0,3,5,185803
5,160,1,10,0,0,1,2,5,185768
5,168,0,2,0,0,0,3,1,185736
5,166,0,5,0,0,0,2,3,185726
5,154,1,4,0,0,1,3,3,185650
5,158,1,6,0,0,1,2,4,185643
5,154,0,7,2,0,0,3,4,185600
5,156,1,5,0,0,1,1,1,185519
5,165,1,2,0,1,1,2,2,185510
5,161,0,4,2,0,0,3,3,185501
5,162,0,10,0,0,0,1,1,185495
5,161,0,8,1,1,0,1,4,185454
5,153,1,9,0,0,1,1,5,185419
5,162,1,6,0,0,1,1,4,185401
5,167,1,3,2,0,1,2,5,185398
5,163,1,3,1,1,1,3,3,185381
5,150,0,4,1,0,0,1,1,185363
5,166,0,5,0,0,0,3,4,185326
5,168,0,5,0,0,0,3,2,185310
5,154,1,0,0,0,1,2,1,185243
5,151,1,3,1,0,0,2,1,185157
5,165,1,2,0,0,1,2,3,185080
5,167,0,5,0,0,0,2,3,185044
5,161,0,2,0,1,0,3,4,184951
5,165,1,8,0,0,1,3,4,184946
5,157,1,1,0,0,1,3,2,184850
5,167,0,1,0,0,0,3,5,184848
5,158,1,0,0,0,1,2,5,184824
5,163,1,4,1,0,1,2,3,184791
5,159,0,9,0,0,0,2,2,184787
5,148,1,3,2,0,1,2,3,184691
5,159,1,9,1,0,1,3,4,184624
5,149,1,6,1,0,1,1,4,184602
5,163,1,7,1,0,1,3,2,184527
5,152,1,10,0,1,1,2,4,184474
5,154,1,2,2,0,1,1,4,184453
5,148,1,6,2,0,1,2,4,184450
5,155,0,6,1,0,0,1,2,184424
5,164,1,7,0,0,1,2,5,184290
5,164,1,2,0,0,1,1,5,184266
5,153,1,8,0,0,1,3,4,184205
5,172,0,2,1,1,0,3,4,184121
5,158,1,9,0,0,1,2,4,184064
5,164,0,7,1,0,0,1,4,184045
5,163,0,5,2,0,0,1,5,184042
5,160,1,1,1,0,1,2,5,183952
5,163,0,1,2,0,0,3,2,183920
5,148,1,10,0,0,1,2,2,183858
5,157,1,9,0,0,1,2,2,183846
5,145,1,0,1,0,1,1,1,183839
5,166,1,5,0,0,1,2,3,183837
5,162,1,5,0,0,1,1,5,183801
5,168,0,9,0,1,0,3,4,183784
5,148,1,5,0,1,1,2,2,183725
5,164,0,1,0,1,0,3,3,183707
5,161,1,1,0,0,1,2,4,183676
5,164,1,7,0,0,1,1,3,183647
5,160,1,2,0,0,1,1,2,183618
5,168,0,1,0,0,0,2,5,183597
5,155,0,8,2,0,0,2,5,183582
5,158,0,10,1,1,0,3,4,183512
5,147,0,1,1,0,0,1,1,183491
5,150,1,1,0,0,1,1,2,183489
5,165,0,8,2,0,0,2,5,183489
5,156,0,9,0,0,0,3,1,183462
5,157,1,9,0,0,1,3,5,183439
5,169,0,3,0,0,0,3,5,183376
5,156,0,8,0,0,0,2,2,183324
5,170,0,5,0,1,0,3,3,183225
5,159,0,3,0,0,0,2,2,183217
5,162,1,5,1,0,1,1,2,183169
5,154,1,1,2,0,1,1,2,183154
5,159,1,6,1,0,1,1,4,183148
5,166,0,3,1,0,0,3,4,183130
5,157,0,9,1,0,0,3,3,183019
5,163,0,5,1,0,0,3,4,183012
5,168,0,6,1,0,0,3,2,183010
5,153,1,4,0,1,1,2,3,182930
5,164,1,3,0,0,1,1,2,182888
5,152,1,0,0,0,1,2,5,182808
5,158,1,3,1,1,1,2,4,182803
5,168,1,8,0,1,1,2,4,182765
5,149,1,1,1,0,1,2,1,182742
5,162,0,9,2,0,0,2,2,182613
5,157,0,9,2,1,0,3,2,182542
5,160,1,7,1,0,1,2,2,182530
5,172,0,2,0,0,0,3,3,182528
5,156,1,6,0,0,1,1,2,182487
5,147,1,9,0,1,1,1,4,182430
5,161,0,9,1,0,0,1,4,182414
5,155,0,10,0,0,0,3,5,182383
5,150,1,1,2,0,1,1,3,182376
5,161,1,1,1,0,1,2,4,182348
5,164,0,1,2,0,0,1,3,182310
5,164,1,0,1,0,1,3,5,182252
5,168,0,4,1,0,0,2,2,182170
5,157,1,6,1,0,1,3,2,182119
5,148,1,6,1,0,1,2,4,182078
5,165,0,7,1,0,0,2,4,182074
5,147,1,6,0,0,1,1,2,182053
5,160,1,2,0,0,1,1,5,182021
5,172,0,1,0,0,0,3,4,182000
5,151,0,1,1,0,0,2,2,181979
5,148,0,8,2,0,0,2,5,181951
5,163,1,2,1,0,1,2,5,181820
5,158,1,9,0,0,1,1,4,181776
5,158,0,1,0,0,0,1,5,181773
5,171,0,8,0,0,0,3,4,181694
5,160,0,5,1,0,0,2,2,181677
5,152,0,5,0,0,0,2,1,181656
5,161,1,1,1,0,1,3,5,181647
5,149,1,10,0,0,1,1,4,181624
5,161,0,1,1,0,0,3,2,181596
5,160,1,3,0,0,1,2,3,181588
5,160,1,0,0,0,1,3,3,181568
5,156,1,8,1,0,1,1,2,181451
5,168,0,8,0,0,0,3,3,181450
5,161,0,1,1,0,0,2,4,181413
5,163,0,1,2,0,0,1,3,181400
5,153,0,9,1,0,0,1,2,181381
5,159,0,1,1,0,0,3,5,181377
5,160,1,7,0,0,1,1,2,181373
5,163,1,0,0,0,1,3,5,181281
5,159,1,3,0,0,1,1,4,181278
5,158,0,4,2,0,0,1,4,181239
4,146,1,6,0,0,1,3,1,181107
5,147,0,6,0,0,0,1,1,181107
5,156,1,8,1,0,1,3,4,181100
5,146,1,7,0,0,1,1,4,181091
5,152,0,5,1,1,0,1,2,180953
5,167,1,4,0,0,1,2,3,180944
5,164,0,1,2,0,0,2,2,180807
5,154,1,9,1,0,1,1,3,180804
5,150,0,10,0,0,0,1,2,180771
5,156,1,5,1,0,1,2,4,180769
5,164,0,6,0,0,0,2,5,180727
5,163,0,0,1,0,0,3,3,180721
5,152,1,3,0,0,1,2,3,180715
5,157,0,9,0,1,0,2,3,180688
5,154,0,8,0,1,0,1,2,180683
5,165,0,1,0,0,0,3,4,180601
5,158,0,5,1,0,0,3,4,180565
5,164,1,6,0,0,1,1,4,180541
5,166,1,6,0,0,1,3,4,180459
5,158,1,5,0,0,1,1,5,180444
5,153,0,7,2,0,0,2,3,180376
5,148,1,6,1,0,1,2,3,180348
5,164,0,0,0,0,0,1,3,180323
5,159,1,0,0,0,1,2,4,180304
5,152,0,1,0,0,1,3,5,180290
5,162,1,10,0,0,1,1,3,180270
5,150,0,5,1,0,0,1,3,180214
5,157,0,3,0,0,0,1,5,180182
5,158,1,0,2,0,1,1,3,180175
5,167,0,5,0,0,0,3,4,180133
5,145,1,8,2,0,1,1,4,180113
5,161,1,5,0,0,1,3,4,180074
5,169,0,3,0,1,0,3,5,180062
5,155,1,4,0,0,1,3,5,180025
5,169,0,4,1,0,0,3,3,180020
5,152,1,1,2,0,1,2,2,179999
5,159,0,5,2,0,0,1,2,179861
5,156,1,5,0,0,1,3,4,179849
5,162,1,10,1,1,1,2,5,179848
5,148,0,3,0,0,0,1,1,179730
5,160,0,8,1,0,0,3,2,179695
5,161,0,0,1,0,0,1,4,179659
5,155,1,4,0,0,1,2,5,179627
5,164,0,1,0,0,0,2,5,179579
5,155,0,5,0,0,0,2,1,179565
5,160,1,5,0,0,1,3,5,179557
5,153,1,7,0,0,1,3,5,179552
5,159,1,10,0,0,1,3,4,179497
5,148,1,6,0,0,1,1,4,179476
5,145,0,1,0,0,0,1,1,179416
5,149,0,4,0,0,0,2,2,179411
5,154,1,7,0,0,1,2,3,179360
5,162,0,8,2,0,0,1,3,179336
5,153,1,2,0,0,1,3,5,179315
5,150,1,10,0,0,1,2,5,179288
5,165,0,6,0,0,0,3,4,179284
5,154,0,6,1,0,0,1,2,179280
5,158,0,0,1,0,0,2,4,179196
5,163,0,5,0,1,0,2,3,179090
5,152,0,1,0,0,0,1,5,179036
5,153,0,6,1,0,0,3,3,178964
5,157,0,3,0,0,0,2,4,178906
5,153,1,10,0,0,1,1,2,178879
5,159,0,9,1,0,0,1,5,178871
5,157,0,1,1,1,0,3,2,178864
5,156,1,6,0,0,1,2,3,178804
5,157,0,1,0,0,0,1,3,178802
5,162,0,9,0,1,0,2,4,178739
5,155,0,1,0,0,0,3,4,178692
5,152,0,6,1,0,0,1,3,178674
5,158,0,0,0,0,0,2,5,178633
5,156,0,10,1,1,0,2,5,178632
4,148,1,0,1,0,1,3,1,178592
5,156,0,10,1,0,0,3,4,178545
5,165,0,3,0,0,0,2,4,178538
5,163,0,6,0,1,0,1,3,178533
5,158,1,7,0,0,1,1,4,178510
5,162,0,6,0,0,0,3,4,178505
5,155,0,4,1,0,0,1,5,178485
5,163,1,8,0,0,1,2,5,178462
5,164,0,5,1,0,0,1,4,178403
5,145,1,4,2,0,1,1,2,178381
5,161,0,1,0,0,0,3,2,178326
5,157,1,2,0,0,1,3,4,178259
5,156,1,5,0,0,1,1,5,178227
5,166,0,2,0,0,0,2,3,178184
5,155,1,4,0,0,1,2,4,178172
5,153,1,5,1,0,1,1,5,178127
5,163,1,2,0,0,1,2,5,178121
5,157,1,7,0,0,1,1,5,178118
5,154,1,9,1,0,1,1,4,178115
5,152,0,1,0,0,0,2,3,178025
5,145,1,6,0,0,1,1,5,178011
5,156,1,2,1,0,1,2,5,177978
5,155,0,2,0,0,0,3,5,177973
5,157,0,9,0,1,0,1,2,177969
5,151,0,9,0,0,0,1,4,177872
5,155,1,6,1,0,1,2,5,177839
5,162,0,8,0,0,0,1,4,177833
5,149,0,3,0,0,0,2,2,177759
5,150,1,1,0,0,1,2,5,177735
5,153,0,10,0,0,0,2,2,177727
5,159,1,0,1,0,1,1,4,177717
5,149,0,8,1,0,0,2,3,177714
5,153,1,9,2,0,1,2,4,177682
5,149,0,9,0,0,0,2,3,177682
5,154,0,4,0,1,0,2,5,177653
5,155,0,1,1,0,0,2,2,177618
5,160,1,5,0,0,1,1,3,177560
5,159,0,10,0,0,0,2,3,177537
5,158,0,2,0,0,0,2,5,177501
5,155,0,1,0,0,0,1,1,177487
5,156,1,4,0,0,1,2,2,177459
5,156,0,2,0,0,0,3,4,177388
5,149,1,7,0,0,1,2,5,177334
5,163,0,7,0,0,0,2,3,177286
5,153,1,4,0,0,1,3,2,177240
5,155,0,2,0,1,0,2,3,177233
5,163,0,3,1,0,0,2,5,177203
5,163,1,9,0,0,1,1,5,177161
5,163,0,2,1,1,0,1,3,177116
5,153,0,5,0,0,0,1,3,177110
5,158,1,8,1,0,1,1,3,176981
5,152,1,7,1,0,1,1,3,176971
5,155,1,10,0,0,1,2,4,176948
5,157,0,6,1,0,0,2,2,176887
5,156,0,9,2,0,0,1,4,176875
5,149,1,3,0,0,1,2,5,176828
5,153,0,1,0,0,0,2,3,176789
5,145,0,4,1,0,0,1,3,176730
5,147,1,6,1,0,1,1,5,176662
4,147,1,1,0,0,1,2,1,176627
5,147,0,3,0,0,0,1,2,176511
5,150,1,1,0,0,1,2,3,176497
5,155,0,2,1,1,1,2,5,176420
5,156,0,0,0,0,0,3,1,176412
5,149,0,2,2,0,0,1,2,176394
5,155,0,3,1,0,0,1,4,176392
5,149,0,1,0,0,0,1,1,176260
5,147,0,0,1,1,0,1,5,176053
4,142,1,5,0,0,1,3,1,176020
5,148,1,6,1,0,1,1,2,175989
4,151,1,5,2,0,1,3,2,175974
5,167,0,10,1,1,0,3,5,175962
5,150,0,0,1,0,0,1,4,175955
5,153,0,5,0,0,0,1,4,175864
5,157,0,2,1,0,0,3,5,175825
5,149,0,6,2,0,0,1,5,175822
5,149,1,5,0,0,1,1,3,175814
5,157,1,10,0,0,1,2,3,175755
5,164,0,8,0,0,0,3,3,175742
5,156,0,4,2,0,0,2,5,175710
4,152,0,9,1,0,0,3,1,175658
5,151,1,1,0,0,1,1,3,175633
5,157,0,4,1,0,0,2,4,175622
5,149,1,10,2,0,1,1,4,175580
5,152,1,9,0,0,1,3,3,175507
5,144,1,4,0,1,1,1,5,175484
5,162,0,8,0,1,0,1,3,175483
4,138,1,7,0,0,1,3,1,175427
5,164,0,1,0,0,0,2,4,175335
5,144,0,10,0,0,0,1,2,175205
5,144,1,4,1,0,1,1,5,175186
5,160,0,8,0,0,0,3,3,175134
5,155,1,10,0,0,1,2,5,175038
5,147,0,2,0,0,0,1,5,174924
5,154,1,7,0,0,1,3,3,174812
5,155,0,10,2,0,0,2,5,174809
5,153,0,2,0,0,0,3,5,174743
5,169,1,5,0,0,0,3,5,174693
5,157,1,8,0,0,1,2,5,174663
5,145,0,1,1,0,0,1,2,174655
5,158,0,6,1,0,0,1,3,174581
5,157,1,2,0,0,1,3,3,174574
5,152,0,5,0,0,0,2,2,174558
5,148,1,0,0,0,1,2,4,174495
5,157,0,8,0,0,0,3,2,174302
5,157,0,4,1,0,0,3,5,174271
5,159,0,6,0,0,0,3,3,174190
5,157,0,1,1,0,0,3,5,174023
5,152,0,3,0,0,0,3,5,174023
5,162,0,8,1,0,0,1,5,173968
5,153,1,5,0,0,1,2,5,173955
5,152,0,2,1,0,0,1,3,173939
5,151,0,10,1,0,0,2,5,173843
4,133,1,3,1,0,1,3,1,173807
5,166,0,5,0,1,0,2,4,173802
5,150,1,10,0,0,1,1,2,173716
5,160,0,2,0,0,0,1,3,173620
5,164,0,5,0,1,0,3,4,173593
4,150,1,5,2,0,1,3,1,173556
5,153,1,10,0,0,1,3,5,173515
5,155,1,6,0,1,1,2,4,173368
5,151,1,1,0,0,1,2,4,173256
5,154,0,7,1,0,0,2,2,173211
5,156,0,2,0,0,0,2,5,173192
5,155,0,9,2,0,0,1,5,173166
5,147,0,2,0,0,0,1,5,173128
5,163,0,10,0,0,0,2,5,173111
5,144,0,0,0,0,0,1,3,173056
5,151,1,8,0,0,1,1,5,173015
5,156,1,7,0,0,1,2,5,172960
5,155,0,7,0,0,0,2,5,172851
5,160,0,1,0,0,0,1,2,172779
5,152,0,10,2,0,0,2,4,172742
5,157,0,3,1,0,0,2,3,172727
5,148,0,0,1,0,0,1,3,172595
5,161,0,0,0,0,0,2,3,172535
5,163,0,4,0,0,0,1,5,172495
4,147,1,9,0,0,1,2,1,172460
5,159,0,10,0,0,0,1,3,172278
5,159,0,8,0,1,0,1,3,172248
4,141,1,7,1,0,1,3,1,172026
5,165,0,3,0,0,0,2,4,171959
4,137,1,0,1,0,1,2,1,171955
4,127,1,2,1,0,1,1,1,171926
5,157,0,2,0,0,0,1,3,171852
5,149,0,0,0,0,0,2,2,171819
5,153,0,0,2,0,0,2,4,171816
5,154,0,5,0,0,0,1,3,171816
5,145,0,10,0,0,0,1,4,171793
5,153,0,3,0,1,0,2,3,171757
4,148,0,4,0,0,0,3,1,171599
4,138,0,10,0,0,0,3,1,171498
5,150,0,9,1,0,0,2,4,171486
4,136,1,2,1,0,1,3,1,171482
5,160,0,9,0,0,0,3,3,171461
5,148,1,3,1,0,1,2,5,171428
5,145,0,2,0,0,0,1,2,171332
5,148,0,10,0,0,0,2,5,171274
5,158,0,3,0,0,0,1,4,171228
4,147,0,6,1,1,0,2,1,171201
5,152,0,9,0,0,0,3,3,171170
5,152,0,5,1,0,0,1,5,171117
5,158,0,6,0,0,0,2,5,171056
4,137,1,6,0,0,1,3,1,170900
5,154,0,9,0,0,0,2,3,170867
5,154,1,5,0,0,1,1,3,170849
5,158,0,7,0,0,0,3,4,170769
4,147,1,1,0,0,1,2,1,170725
5,153,0,4,1,0,0,3,4,170713
5,146,0,6,0,0,0,1,4,170671
5,154,1,3,0,0,1,1,5,170607
5,148,1,0,0,0,1,1,4,170561
5,160,0,9,0,0,0,3,3,170550
5,145,0,9,1,0,0,1,4,170528
4,147,1,6,1,0,1,2,1,170505
4,136,1,4,1,0,1,3,1,170476
4,140,1,4,0,0,1,1,1,170440
4,142,1,2,1,0,1,3,1,170380
5,148,0,3,0,0,0,2,5,170347
5,158,0,4,0,1,0,1,5,170201
5,162,0,10,0,0,0,1,4,170111
5,147,0,7,0,0,0,1,4,170106
5,158,0,0,0,0,0,3,4,169798
5,150,0,0,1,0,0,2,4,169698
4,142,0,6,1,0,0,2,1,169689
5,146,1,8,0,0,1,1,5,169625
4,149,0,9,0,0,1,3,2,169564
4,148,0,1,0,0,0,2,1,169432
5,150,0,6,0,0,0,2,5,169405
4,143,1,2,0,0,1,3,1,169356
4,145,0,10,1,0,0,2,1,169315
5,150,0,3,0,0,0,1,3,169221
4,147,1,2,0,0,1,2,1,169210
4,143,0,4,1,1,0,3,1,169154
5,149,1,2,0,0,1,2,5,169104
4,140,1,2,1,0,1,2,1,168752
4,143,0,5,2,0,0,1,1,168714
4,148,0,8,2,1,0,3,2,168709
4,143,1,3,1,0,1,1,1,168698
5,146,1,8,0,0,1,1,4,168617
4,142,1,7,0,0,1,3,1,168616
5,152,0,3,0,0,0,3,4,168562
4,143,1,1,0,0,1,1,1,168508
4,147,1,5,2,1,1,2,3,168498
5,156,0,10,0,1,0,3,4,168485
4,133,1,4,0,0,1,2,1,168420
4,147,1,6,1,0,1,3,2,168367
4,152,1,4,0,1,1,3,2,168283
5,154,0,5,1,0,0,2,5,168237
4,151,1,9,1,0,0,3,1,168201
4,133,1,9,1,0,1,1,1,168099
5,145,1,1,0,0,1,1,3,168083
5,153,0,2,0,0,0,1,3,168023
4,149,0,1,1,0,0,3,1,167875
4,135,1,6,0,0,1,1,1,167824
5,152,0,8,0,0,0,2,3,167786
4,150,1,1,1,0,1,3,2,167700
4,147,1,9,1,0,1,3,5,167643
4,141,0,8,1,0,0,3,1,167638
5,147,0,1,1,0,0,1,5,167605
4,140,1,10,2,0,1,1,1,167563
4,150,1,10,0,0,1,3,1,167482
5,144,0,6,0,0,0,1,3,167431
5,149,0,2,0,0,0,2,3,167398
4,140,1,2,0,0,1,1,1,167281
4,139,0,8,0,1,0,3,1,167212
4,152,1,10,1,0,1,3,1,167145
5,154,0,4,0,0,0,2,5,167079
4,152,0,2,0,0,0,3,1,167031
5,144,1,4,0,0,1,1,4,166794
4,149,1,3,1,0,1,3,2,166757
4,150,1,0,1,0,1,3,4,166725
4,141,1,3,1,0,1,2,2,166674
4,144,1,8,2,1,1,3,5,166612
4,138,1,10,0,1,1,2,1,166424
4,144,1,7,1,0,1,2,2,166388
5,148,0,5,0,1,0,2,5,166354
4,139,1,7,1,0,1,2,2,166120
4,142,0,0,1,0,0,3,1,166017
4,133,0,7,1,0,0,2,1,165994
